col_0,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guadeloupe,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1995,,1,,,,,,35,1,,73,25,6,,4,7,,9,45,,0,,,,,1,81,,1,13,0,,1,136,,,,11,816,18,,,,2,2,5,,,2,34,,,19,,,4,6,27,2,,,4,1,,,,20,136,,,,,1,310,2,27,,,,2,0,,,,1,35,20,,197,57,,11,68,18,153,2,410,5,37,3,,,14,3,0,3,,,,,,7,2,,,0,0,27,,,1,,,,1,,88,2,,,10,1,,0,,1,59,,8,1,,9,,,,5,24,,1,,2,8,22,2,88,17,8,1,123,,,,,28,320,0,,,,,,67,1,,,,25,13,5,,,71,78,3,,,,,,23,24,,59,,48,,0,,3,5,60,,,,1,61,21,177,1,1462,2,,,32,8,,,1,4,3833,2398,3695,2535,1323,188,1963,31,1775,307,1687,83,199,169,0,6399
1996,,1,,,,,,37,1,,75,27,8,,4,7,,13,45,,0,,,,,1,88,,2,13,0,,1,139,,,,13,852,18,,,,2,2,5,,,2,33,,,20,,,4,6,27,2,,,5,1,,,,20,138,,,,,2,305,2,27,,,,2,0,,,,1,35,19,,210,63,,13,71,18,144,2,408,4,33,3,,,12,2,0,4,,,,,,6,3,,,0,1,28,,,1,,,,1,,93,2,,,9,1,,0,,1,59,,9,1,,10,,,,5,27,,1,,1,8,21,3,90,17,8,1,135,,,,,27,343,0,,,,,,66,1,,,,28,13,5,,,69,74,3,,,,,,24,29,,55,,50,,0,,4,5,57,,,,0,77,22,185,1,1508,2,,,27,10,,,1,5,3921,2487,3762,2646,1318,184,2036,33,1822,302,1741,86,205,183,0,6590
1997,,1,,,,,,39,1,,77,26,7,,4,8,,12,46,,1,,,,,1,93,,1,13,0,,1,148,,,,15,833,20,,,,2,2,6,,,2,32,,,18,,,5,5,30,2,,,4,1,,,,20,134,,,,,2,293,2,27,,,,3,0,,,,1,39,19,,220,68,,13,73,19,146,2,401,5,31,2,,,13,1,0,4,,,,,,6,2,,,0,1,31,,,1,,,,1,,104,2,,,9,1,,0,,1,57,,9,1,,12,,,,5,27,,1,,2,8,24,3,88,18,8,1,137,,,,,24,321,0,,,,,,56,1,,,,31,13,5,,,73,75,3,,,,,,23,26,,60,,47,,0,,4,5,61,,,,1,74,22,184,1,1537,2,,,32,12,,,1,4,3904,2534,3791,2647,1294,192,2042,35,1771,300,1789,89,221,193,0,6631
1998,,1,,,,,,40,1,,82,27,8,,4,8,,19,49,,1,,,,,1,95,,1,12,0,,1,149,,,,15,807,20,,,,2,2,6,,,3,31,,,18,,,5,7,35,2,,,5,1,,,,19,140,,,,,2,294,2,29,,,,3,0,,,,2,33,19,,224,38,,13,84,19,149,3,375,5,32,4,,,15,3,0,4,,,,,,6,2,,,1,1,22,,,1,,,,1,,110,2,,,10,1,,0,,1,59,,9,1,,12,,,,5,26,,1,,2,9,21,3,81,19,8,1,99,,,,,24,287,0,,,,,,60,1,,,,26,13,5,,,70,80,3,,,,,,23,31,,59,,35,,1,,4,5,62,,,,1,66,25,191,1,1582,2,,,42,13,,,1,4,3914,2488,3813,2588,1316,205,1899,36,1766,324,1841,93,237,204,0,6605
1999,,1,,,,,,41,1,,81,26,7,,3,8,,18,50,,1,,,,,1,91,,1,11,1,,1,148,,,,16,817,16,,,,3,2,6,,,2,30,,,19,,,6,6,36,2,,,5,1,,,,20,140,,,,,2,297,3,28,,,,3,0,,,,2,29,19,,247,58,,15,90,17,153,3,398,5,28,3,,,12,2,0,3,,,,,,5,2,,,1,1,26,,,1,,,,1,,112,2,,,11,1,,0,,2,39,,9,1,,10,,,,5,29,,2,,2,9,23,3,84,20,4,1,119,,,,,21,276,0,,,,,,51,1,,,,28,12,5,,,77,86,4,,,,,,22,29,,62,,40,,1,,4,5,62,,,,1,64,22,187,1,1627,3,,,32,12,,,1,4,3953,2527,3893,2587,1306,203,2007,39,1730,299,1889,93,219,211,0,6691
2000,,1,,,,,,38,1,,80,26,7,,3,9,,18,51,,1,,,,,2,96,,1,12,0,,1,154,,,,16,830,16,,,,3,2,6,,,3,32,,,18,,,6,6,38,2,,,5,1,,,,20,142,,,,,2,298,2,30,,,,4,0,,,,2,30,19,,245,65,,15,87,18,160,2,418,5,30,3,,,8,1,1,3,,,,,,5,2,,,1,0,30,,,1,,,,1,,119,2,,,11,1,,1,,1,39,,9,1,,13,,,,5,31,,2,,1,9,25,2,81,21,4,1,132,,,,,22,273,0,,,,,,57,1,,,,33,12,5,,,76,90,4,,,,,,22,31,,67,,42,,0,,3,6,73,,,,1,58,28,190,1,1707,2,,,24,13,,,1,3,4069,2603,4047,2624,1327,203,2082,42,1745,315,1982,91,213,214,0,6886
2001,,1,,,,,,35,1,,81,27,7,,3,11,,17,51,,1,,,,,2,94,,1,12,0,,1,148,,,,15,870,16,,,,3,2,7,,,3,32,,,18,,,6,7,33,2,,,5,2,,,,21,141,,,,,1,297,3,30,,,,4,0,,,,2,32,20,,251,71,,15,95,19,156,3,406,5,32,3,,,11,1,0,3,,,,,,5,2,,,1,0,32,,,1,,,,1,,122,2,,,12,1,,2,,1,38,,9,1,,18,,,,5,31,,2,,1,8,24,2,79,21,5,1,129,,,,,24,306,0,,,,,,60,1,,,,28,12,5,,,71,91,4,,,,,,21,28,,60,,44,,0,,4,6,58,,,,1,69,29,192,1,1682,2,,,33,15,,,1,3,4069,2664,3985,2747,1325,204,2115,44,1784,323,1954,93,216,212,0,6945
2002,,1,,,,,,22,1,,88,27,8,,3,10,,17,54,,1,,,,,1,91,,1,12,0,,1,155,,,,16,935,17,,,,4,1,7,,,3,33,,,18,,,6,8,34,2,,,5,2,,,,21,141,,,,,1,289,3,31,,,,4,0,,,,3,28,21,,257,77,,16,93,18,161,2,409,6,34,2,,,11,1,0,3,,,,,,6,2,,,0,1,35,,,1,,,,1,,123,2,,,13,1,,0,,1,41,,10,1,,20,,,,6,33,,2,,1,9,24,3,77,22,6,1,142,,,,,24,308,0,,,,,,65,2,,,,28,12,5,,,67,99,5,,,,,,22,26,,65,,44,,1,,5,6,64,,,,1,68,27,190,2,1716,2,,,29,17,,,1,3,4131,2758,4065,2822,1338,204,2220,45,1799,328,1993,100,199,217,0,7106
2003,,1,,,,,,29,1,,91,28,9,,3,13,,17,54,,1,,,,,3,89,,1,13,1,,1,149,,,,15,1046,16,,,,3,2,8,,,3,33,,,19,,,6,8,38,3,,,6,2,,,,24,142,,,,,2,291,3,27,,,,4,0,,,,2,27,22,,270,85,,17,110,21,161,3,413,6,37,3,,,14,2,0,4,,,,,,5,3,,,1,1,36,,,1,,,,1,,129,2,,,11,1,,1,,1,52,,10,2,,21,,12,,8,33,,0,,1,8,25,3,77,21,6,1,145,,,,,25,327,0,,,,,,83,2,,,,30,12,5,,,76,99,5,,,,,,24,30,,68,,50,,1,,5,6,68,,,,1,62,35,195,2,1741,2,,,37,23,,,1,3,4201,3041,4134,3106,1360,230,2393,46,1842,394,2022,104,211,227,0,7468
2004,,1,,,,,,35,1,,95,28,10,,3,13,,17,59,,1,,,,,2,92,,1,12,1,,1,153,,,,16,1180,16,,,,3,2,7,,,3,31,,,19,,,5,9,36,2,,,5,2,,,,25,149,,,,,2,292,3,26,,,,4,0,,,,2,24,21,,288,86,,18,116,20,167,3,412,7,38,3,,,15,2,1,4,,,,,,5,4,,,1,1,39,,,1,,,,1,,127,2,,,13,1,,1,,1,52,,11,2,,23,,12,,7,37,,0,,2,9,25,2,79,22,6,1,146,,,,,26,331,0,,,,,,97,2,,,,31,12,5,,,88,107,5,,,,,,24,30,,76,,56,,1,,5,6,75,,,,1,59,40,201,2,1790,2,,,30,26,,,1,3,4297,3269,4235,3329,1398,244,2570,43,1883,431,2072,108,214,247,0,7812
2005,,2,,,,,,37,1,,94,29,9,,4,13,,16,58,,1,,,,,2,96,,1,13,0,,2,157,,,,17,1298,18,,,,4,2,8,,,3,30,,,18,,,6,9,42,2,,,5,2,,,,22,148,,,,,2,287,3,27,,,,4,0,,,,3,27,21,,299,88,,19,118,20,167,3,416,7,42,3,,,16,2,1,4,,,,,,5,4,,,1,1,41,,,1,,,,1,,138,2,,,14,1,,1,,1,52,,11,2,,25,,12,,7,40,,0,,2,10,25,3,79,23,8,1,157,,,,,28,337,0,,,,,,98,2,,,,37,12,5,,,82,114,5,,,,,,24,31,,75,,60,,1,,5,6,82,,,,1,67,45,198,2,1800,2,,,32,28,,,1,3,4329,3493,4279,3541,1398,254,2742,46,1895,452,2097,108,227,257,0,8078
2006,,1,,,,,,41,1,,99,30,11,,3,14,,18,61,,2,,,,,2,100,,1,14,0,,2,155,,,,18,1379,19,,,,3,2,9,,,3,33,,,20,,,6,9,43,3,,,5,2,,,,26,145,,,,,2,294,4,28,,,,5,1,,,,3,28,23,,322,90,,19,128,21,173,4,410,7,50,4,,,17,3,1,4,,,,,,6,5,,,1,1,42,,,1,,,,1,,142,3,,,14,2,,1,,1,60,,11,2,,20,,13,,10,42,,0,,2,9,24,3,84,22,8,1,165,,,,,32,342,0,,,,,,111,2,,,,45,13,6,,,89,117,5,,,,,,24,30,,76,,59,,1,,4,6,87,,,,1,70,47,202,3,1800,2,,,30,30,,,1,3,4384,3691,4339,3734,1449,263,2876,47,1956,488,2098,113,234,271,0,8346
2007,,1,,,,,,42,2,,102,28,9,,4,15,,19,62,,2,,,,,3,109,,2,14,1,,2,164,,,,19,1496,19,,,,4,2,9,,,3,34,,,19,,,7,10,46,3,,,6,2,,,,26,150,,,,,3,279,4,27,,,,5,1,,,,3,24,22,,349,101,,19,136,21,171,4,414,7,52,4,,,19,2,1,5,,,,,,7,3,,,1,1,43,,,1,,,,1,,137,3,,,15,2,,2,,1,49,,11,2,,24,,14,,11,45,,0,,2,10,25,3,86,21,9,2,171,,,,,29,362,0,,,,,,102,2,,,,30,13,6,,,90,120,5,,,,,,25,32,,78,,59,,1,,5,6,99,,,,1,75,55,205,2,1806,2,,,32,32,,,1,3,4414,3893,4360,3946,1428,278,3031,47,1968,509,2108,116,250,287,0,8594
2008,,2,,,,,,47,2,,100,28,10,,5,16,,21,57,,2,,,,,3,121,,2,15,1,,2,159,,,,21,1632,21,,,,4,2,8,,,3,35,,,18,,,7,10,50,3,,,5,3,,,,23,147,,,,,2,276,4,27,,,,4,1,,,,3,26,22,,372,101,,17,139,23,170,4,406,7,49,4,,,20,2,1,4,,,,,,6,7,,,1,1,48,,,2,,,,1,,142,4,,,16,2,,2,,2,50,,11,2,,24,,14,,11,45,,1,,2,13,27,3,87,20,11,2,174,,,,,30,367,0,,,,,,114,2,,,,32,14,6,,,90,111,6,,,,,,24,32,,74,,61,,1,,5,7,97,,,,1,75,67,194,3,1723,3,,,36,36,,,2,3,4293,4168,4243,4217,1400,293,3205,49,1949,545,2025,116,279,291,0,8752
2009,,2,,,,,,44,2,,105,25,9,,5,17,,15,49,,2,,,,,1,111,,2,12,1,,2,153,,,,18,1837,21,,,,3,2,7,,,4,31,,,17,,,6,10,54,2,,,4,3,,,,20,137,,,,,2,254,4,30,,,,4,1,,,,3,23,18,,420,110,,14,144,21,150,2,372,8,46,5,,,20,3,1,4,,,,,,5,7,,,1,1,46,,,2,,,,1,,135,4,,,16,3,,1,,2,48,,10,2,,22,,13,,12,45,,5,,2,14,26,4,83,18,12,2,158,,,,,24,349,0,,,,,,125,2,,,,30,13,5,,,96,96,5,,,,,,20,30,,67,,61,,1,,8,6,91,,,,1,64,53,179,3,1582,3,,,45,39,,,2,2,3951,4396,3908,4438,1270,306,3395,53,1777,554,1870,120,274,278,0,8625
2010,,2,,,,,,48,1,,105,27,8,,5,19,,17,53,,2,,,,,2,132,,2,12,1,,3,163,,,,20,1992,23,,,,3,2,7,,,4,33,,,17,,,7,12,55,2,,,5,3,,,,23,138,,,,,2,267,4,27,,,,4,1,,,,3,25,19,,434,124,,13,150,23,158,3,391,7,43,5,,,20,3,1,4,,,,,,5,7,,,1,1,52,,,1,,,,1,,136,4,,,16,2,,1,,3,50,,10,2,,26,,14,,11,44,,7,,2,17,29,4,88,18,12,2,177,,,,,23,368,0,,,,,,139,2,,,,32,13,6,,,90,94,6,,,,,,24,30,,76,,68,,1,,8,7,99,,,,2,67,56,186,3,1637,3,,,44,43,,,2,3,4101,4703,4069,4733,1314,307,3647,57,1843,588,1937,119,306,296,0,9099
2011,,2,,,,,,50,2,,107,28,9,,4,21,,14,56,,2,,,,,1,140,,2,12,1,,3,154,,,,23,2201,23,,,,4,2,8,,,3,32,,,17,,,7,12,58,2,,,5,3,,,,21,145,,,,,3,267,5,24,,,,5,1,,,,3,22,19,,454,138,,13,150,23,158,3,416,8,40,5,,,19,4,1,4,,,,,,6,3,,,1,1,54,,,2,,,,2,,140,6,,,17,3,,1,,3,46,,10,2,,27,,14,,12,45,,4,,2,15,29,4,88,17,10,2,184,,,,,25,388,0,,,,,,133,3,,,,30,14,6,,,90,92,7,,,,,,23,33,,74,,70,,1,,7,7,105,,,,2,71,62,172,4,1622,3,,,42,46,,,2,3,4117,4987,4078,5025,1297,315,3933,53,1850,595,1917,123,318,303,0,9406
2012,,2,,,,,,51,2,,112,26,10,,3,21,,17,50,,2,,,,,2,148,,2,12,1,,3,165,,,,25,2284,25,,,,4,3,6,,,3,30,,,15,,,7,12,60,2,,,5,4,,,,20,130,,,,,3,252,6,22,,,,5,1,,,,3,31,17,,497,148,,13,152,25,142,3,426,8,48,5,,,21,4,2,4,,,,,,6,7,,,1,1,58,,,2,,,,1,,148,10,,,17,3,,1,,3,45,,11,2,,23,,14,,15,45,,8,,2,17,31,4,86,16,12,2,182,,,,,23,402,0,,,,,,148,3,,,,33,13,5,,,91,85,8,,,,,,21,31,,75,,76,,2,,7,7,108,,,,2,71,60,175,5,1560,4,,,47,44,,,2,3,4019,5226,3980,5264,1225,321,4115,57,1795,617,1873,128,339,300,0,9544
2013,,2,,,,,,53,2,,106,26,10,,4,23,,18,50,,2,,,,,4,157,,2,10,1,,4,165,,,,25,2347,27,,,,4,4,6,,,2,29,,,15,,,7,13,59,2,,,5,4,,,,19,128,,,,,3,252,6,19,,,,5,1,,,,3,32,17,,499,142,,12,151,22,132,3,414,9,53,6,,,20,4,2,3,,,,,,6,7,,,1,1,66,,,2,,,,1,,148,12,,,17,4,,2,,3,44,,11,2,,32,,13,,16,44,,7,,3,15,35,5,83,15,11,2,183,,,,,21,392,0,,,,,,152,3,,,,34,13,5,,,89,77,7,,,,,,20,35,,74,,79,,2,,6,7,108,,,,2,71,63,169,5,1582,4,,,52,51,,,2,3,3972,5352,3948,5376,1180,340,4192,54,1741,624,1896,122,355,304,0,9629
2014,,2,,,,,,53,2,,108,25,11,,4,24,,18,48,,2,,,,,5,163,,2,11,1,,4,162,,,,24,2374,28,,,,4,4,6,,,2,28,,,14,,,7,14,63,2,,,5,5,,,,18,120,,,,,3,243,6,18,,,,5,1,,,,3,32,17,,541,143,,12,162,21,127,3,395,9,57,7,,,19,5,2,3,,,,,,6,6,,,1,1,66,,,2,,,,1,,145,8,,,17,5,,2,,4,43,,11,2,,33,,13,,17,46,,7,,3,17,35,5,80,15,13,3,184,,,,,21,387,0,,,,,,170,3,,,,33,13,5,,,92,77,8,,,,,,20,34,,74,,77,,2,,7,7,110,,,,2,61,63,161,5,1589,3,,,51,54,,,2,4,3903,5487,3892,5498,1139,363,4251,55,1682,656,1898,124,362,307,0,9697
2015,,2,,,,,,55,2,,108,25,11,,5,26,,17,48,,2,,,,,4,150,,2,11,1,,4,158,,,,25,2369,28,,,,3,4,6,,,2,28,,,14,,,7,13,63,2,,,5,5,,,,18,119,,,,,3,239,6,17,,,,6,1,,,,3,30,17,,567,156,,11,161,22,126,3,378,9,67,7,,,24,4,3,3,,,,,,6,6,,,1,1,64,,,1,,,,1,,140,6,,,17,4,,2,,3,42,,11,2,,34,,13,,18,49,,7,,3,16,37,6,79,15,16,3,184,,,,,21,379,0,,,,,,192,3,,,,31,13,5,,,88,78,8,,,,,,19,33,,73,,76,,2,,8,8,112,,,,2,53,63,156,5,1556,3,,,53,56,,,2,4,3817,5551,3820,5547,1126,363,4278,56,1652,688,1854,124,353,319,0,9687
2016,,2,,,,,,53,2,,106,25,11,,5,26,,17,46,,2,,,,,5,141,,2,11,1,,4,153,,,,25,2375,28,,,,3,4,6,,,2,28,,,14,,,7,13,67,2,,,5,5,,,,18,118,,,,,3,239,6,17,,,,6,1,,,,3,29,17,,595,158,,12,160,21,124,2,372,9,64,7,,,26,4,4,3,,,,,,6,6,,,1,1,67,,,1,,,,1,,136,7,,,17,5,,2,,4,41,,10,2,,35,,13,,18,59,,6,,3,17,39,6,79,15,18,3,184,,,,,20,387,0,,,,,,182,3,,,,29,13,5,,,88,75,9,,,,,,19,32,,73,,74,,2,,8,8,117,,,,2,56,61,148,5,1522,3,,,50,54,,,3,3,3764,5589,3757,5595,1108,370,4318,56,1644,693,1811,122,340,323,0,9675
2017,,2,,,,,,53,2,,106,26,11,,5,28,,17,47,,2,,,,,5,143,,3,11,1,,5,156,,,,25,2426,27,,,,4,4,6,,,2,29,,,14,,,7,13,68,2,,,5,6,,,,17,120,,,,,3,238,5,17,,,,6,1,,,,3,29,18,,612,161,,12,176,21,125,2,368,9,67,7,,,25,4,5,3,,,,,,6,6,,,1,1,66,,,1,,,,2,,131,8,,,18,5,,2,,5,41,,11,2,,33,,13,,19,66,,7,,3,17,42,6,81,16,19,3,190,,,,,21,394,0,,,,,,181,3,,,,30,13,5,,,90,78,9,,,,,,19,32,,75,,76,,2,,8,8,121,,,,2,55,55,147,5,1515,3,,,48,54,,,3,3,3772,5696,3763,5705,1119,371,4410,54,1662,708,1802,122,340,336,0,9804
2018,,2,,,,,,50,2,,103,25,11,,5,29,,18,48,,2,,,,,5,137,,3,11,1,,5,158,,,,25,2534,26,,,,4,4,6,,,2,29,,,14,,,7,13,62,2,,,5,6,,,,18,119,,,,,3,235,6,16,,,,6,1,,,,3,30,18,,645,171,,11,176,22,127,2,360,9,65,8,,,24,5,5,4,,,,,,6,6,,,1,1,71,,,1,,,,2,,130,11,,,18,4,,2,,5,42,,11,2,,35,,13,,17,67,,7,,3,17,43,6,82,15,19,3,195,,,,,22,386,0,,,,,,175,3,,,,31,13,5,,,90,78,9,,,,,,19,33,,76,,76,,2,,8,7,117,,,,2,60,56,147,6,1563,3,,,39,59,,,3,4,3813,5844,3806,5849,1122,370,4581,55,1662,694,1852,119,322,345,0,10001
2019,,2,,,,,,45,1,,102,25,11,,5,32,,17,47,,3,,,,,5,138,,3,10,1,,5,157,,,,26,2577,27,,,,4,4,6,,,2,28,,,13,,,8,12,62,2,,,4,6,,,,17,115,,,,,3,225,6,15,,,,7,1,,,,3,30,18,,658,184,,11,198,22,123,2,352,9,62,8,,,24,5,8,3,,,,,,6,6,,,1,1,73,,,1,,,,2,,124,20,,,19,5,,2,,6,40,,11,2,,36,,13,,16,65,,7,,3,17,45,6,77,14,21,3,190,,,,,21,391,0,,,,,,176,3,,,,30,13,5,,,92,74,9,,,,,,19,32,,75,,77,,2,,8,8,109,,,,2,59,55,142,6,1535,3,,,33,64,,,3,3,3731,5942,3705,5968,1076,375,4658,57,1620,714,1817,119,313,343,0,10016
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,9500
